sequence	start_position_windows	nb_GC	nb_ACGT	nb_MRWSYK	nb_N	GCrate	Nrate	MRWSYKrate
Sc0000000	0	2738	0	7932	2068	0.345184064548664	0.2068	0
Sc0000000	10000	2835	0	9552	448	0.29679648241206	0.0448	0
Sc0000000	20000	3353	0	9998	2	0.335367073414683	0.0002	0
Sc0000000	30000	3697	0	10000	0	0.3697	0	0
Sc0000000	40000	3612	0	10000	0	0.3612	0	0
Sc0000000	50000	3142	0	10000	0	0.3142	0	0
Sc0000000	60000	3423	0	9208	792	0.371741963509991	0.0792	0
Sc0000000	70000	4434	0	10000	0	0.4434	0	0
Sc0000000	80000	3479	0	10000	0	0.3479	0	0
Sc0000000	90000	3306	0	9999	1	0.330633063306331	0.0001	0
Sc0000000	100000	4377	0	10000	0	0.4377	0	0
Sc0000000	110000	3050	0	7411	2589	0.411550398056942	0.2589	0
Sc0000000	120000	3347	0	9555	445	0.350287807430665	0.0445	0
Sc0000000	130000	3928	0	10000	0	0.3928	0	0
Sc0000000	140000	3841	0	10000	0	0.3841	0	0
Sc0000000	150000	3303	0	9762	238	0.338352796558082	0.0238	0
Sc0000000	160000	3754	0	9998	2	0.375475095019004	0.0002	0
Sc0000000	170000	3536	0	9999	1	0.353635363536354	0.0001	0
Sc0000000	180000	3174	0	9973	27	0.318259300110298	0.0027	0
Sc0000000	190000	4181	0	10000	0	0.4181	0	0
Sc0000000	200000	3280	0	10000	0	0.328	0	0
Sc0000000	210000	3780	0	10000	0	0.378	0	0
Sc0000000	220000	3651	0	10000	0	0.3651	0	0
Sc0000000	230000	3384	0	10000	0	0.3384	0	0
Sc0000000	240000	3236	0	10000	0	0.3236	0	0
Sc0000000	250000	3796	0	10000	0	0.3796	0	0
Sc0000000	260000	3793	0	9998	2	0.379375875175035	0.0002	0
Sc0000000	270000	3916	0	9999	1	0.391639163916392	0.0001	0
Sc0000000	280000	3745	0	9999	1	0.374537453745375	0.0001	0
Sc0000000	290000	3487	0	10000	0	0.3487	0	0
Sc0000000	300000	3440	0	10000	0	0.344	0	0
Sc0000000	310000	3594	0	10000	0	0.3594	0	0
Sc0000000	320000	3366	0	10000	0	0.3366	0	0
Sc0000000	330000	3939	0	10000	0	0.3939	0	0
Sc0000000	340000	3575	0	10000	0	0.3575	0	0
Sc0000000	350000	3658	0	10000	0	0.3658	0	0
Sc0000000	360000	3641	0	10000	0	0.3641	0	0
Sc0000000	370000	3792	0	9434	566	0.401950392198431	0.0566	0
Sc0000000	380000	3193	0	9999	1	0.319331933193319	0.0001	0
Sc0000000	390000	3587	0	10000	0	0.3587	0	0
Sc0000000	400000	3891	0	9799	201	0.397081334830085	0.0201	0
Sc0000000	410000	4210	0	10000	0	0.421	0	0
Sc0000000	420000	4323	0	9964	36	0.433861902850261	0.0036	0
Sc0000000	430000	4244	0	10000	0	0.4244	0	0
Sc0000000	440000	4071	0	10000	0	0.4071	0	0
Sc0000000	450000	3422	0	10000	0	0.3422	0	0
Sc0000000	460000	3673	0	10000	0	0.3673	0	0
Sc0000000	470000	3960	0	10000	0	0.396	0	0
Sc0000000	480000	3839	0	10000	0	0.3839	0	0
Sc0000000	490000	3417	0	10000	0	0.3417	0	0
Sc0000000	500000	3413	0	10000	0	0.3413	0	0
Sc0000000	510000	3957	0	10000	0	0.3957	0	0
Sc0000000	520000	3655	0	10000	0	0.3655	0	0
Sc0000000	530000	3654	0	10000	0	0.3654	0	0
Sc0000000	540000	3598	0	10000	0	0.3598	0	0
